HGNC symbol;MODE;median (nearest phylostratum)
ABCA11P;#N/A;14
ABCA17P;#N/A;18
ABCC13;#N/A;8
ACE3P;#N/A;18
ADAM1A;#N/A;18
ADAM1B;#N/A;18
ADAM24P;#N/A;18
ADAM3A;#N/A;18
ADAM5;18;18
ADAM6;#N/A;18
ADAMTSL4-AS1;#N/A;19.2
ADGRE4P;7;12
AFG3L1P;#N/A;18
AGAP11;7;7
AGAP14P;7;7
AGAP2-AS1;#N/A;19.2
AGAP7P;7;7
AHSA2P;3;11
AIRN;#N/A;18
AKAP17BP;#N/A;18
AKR1C8P;#N/A;7
AKR7L;12;12
ALMS1P1;#N/A;17
ALOX12-AS1;#N/A;19.2
ANKRD19P;#N/A;15.1
ANKRD20A21P;#N/A;19.2
ANKRD20A5P;#N/A;12
ANKRD26P1;#N/A;5
ANKRD36BP1;#N/A;17
ANP32C;7;7
ANXA2P2;12;12
AOX3P;#N/A;18
AQP7P3;#N/A;7
ARHGAP11B;12;12
ARMC4P1;#N/A;17
ARMCX5-GPRASP2;19.1;19.1
ARMCX7P;#N/A;18
ARRDC1-AS1;19.2;19.2
ART2BP;#N/A;18
ATP11AUN;19.2;19.2
ATP5F1EP2;12;12
ATP8B5P;#N/A;15.1
AZIN1-AS1;#N/A;19.2
B3GALT5-AS1;#N/A;19.2
BAALC-AS2;#N/A;19.2
BAGE2;#N/A;19.2
BCORP1;#N/A;7
BCRP1;#N/A;7
BCRP2;#N/A;7
BIRC6-AS2;12;12
BLACE;19.2;19.2
BMP2KL;#N/A;19.1
BPIFA4P;17;17
BPIFB5P;#N/A;18
BPIFB9P;#N/A;18
BTF3L4P3;#N/A;2
BTN2A3P;12;12
BTNL10;18;18
C10orf111;#N/A;19.2
C10orf25;#N/A;19.2
C10orf91;#N/A;19.2
C11orf44;19.2;19.2
C12orf77;19.2;19.2
C12orf80;19.2;19.2
C15orf32;19.2;19.2
C15orf54;#N/A;18
C15orf56;19.2;19.2
C16orf82;17;17
C17orf102;19.2;19.2
C17orf112;19.2;19.2
C17orf77;19.2;19.2
C17orf82;#N/A;19.2
C1orf137;19.2;19.2
C1orf143;#N/A;19.2
C1orf147;#N/A;19.2
C1orf195;#N/A;19.2
C1orf220;#N/A;19.2
C1orf229;19.2;19.2
C1QTNF1-AS1;#N/A;19.2
C20orf187;#N/A;19.2
C20orf197;19.2;19.2
C20orf78;19.2;19.2
C21orf62-AS1;#N/A;19.2
C22orf24;#N/A;19.2
C22orf34;#N/A;19.2
C2orf27A;19.2;19.2
C2orf27B;19.2;19.2
C3orf35;19.2;18
C3orf79;19.2;19.2
C3P1;#N/A;7
C4B;12;12
C5orf56;19.2;19.2
C5orf64;19.2;19.2
C5orf66;19.2;19.2
C6orf99;19.2;19.2
C7orf65;19.2;19.2
C7orf66;19.2;19.2
C7orf69;19.2;19.2
C7orf71;19.1;19.1
C8orf17;#N/A;19.2
C8orf31;19.2;19.2
C8orf34-AS1;#N/A;19.2
C8orf49;#N/A;19.2
C8orf59P1;#N/A;12
C8orf87;19.2;19.2
C9orf106;19.2;19.2
C9orf147;#N/A;19.2
C9orf163;#N/A;19.2
C9orf170;19.2;19.2
C9orf62;19.2;19.2
CA5BP1;#N/A;17
CABIN1;12;12
CALR4P;#N/A;18
CAPN15;7;7
CARMN;18;18
CASP12;12;12
CASP16P;17;17
CCDC144B;#N/A;9
CCDC144CP;#N/A;9
CCDC162P;18;18
CCDC92B;18;18
CCNYL2;#N/A;5
CCNYL3;#N/A;5
CCT8L1P;18;17
CDC14C;3;3
CDKN2A-AS1;#N/A;19.2
CEP170P1;#N/A;3
CES1P1;#N/A;12
CETN4P;#N/A;15.1
CHCHD2P9;7;7
CHIAP2;#N/A;12
CHMP1B2P;#N/A;18
CHMP4BP1;#N/A;3
CKS1BP3;#N/A;3
CLCA3P;#N/A;17
CLLU1;#N/A;19.2
CLUHP3;#N/A;17
CMAHP;12;14
COLCA1;#N/A;19.2
COX6A1P2;#N/A;12
COX7A2P2;7;7
CROCCP2;#N/A;7
CROCCP3;#N/A;11
CRYM-AS1;#N/A;18
CRYZL2P;#N/A;18
CSN1S2AP;#N/A;18
CSPG4P5;#N/A;7
CST12P;#N/A;18
CST13P;#N/A;18
CST9LP1;17;17
CTF2P;#N/A;18
CTSL3P;#N/A;12
CUTALP;#N/A;18
CYCTP;#N/A;18
CYP21A1P;#N/A;18
CYP2AB1P;#N/A;18
CYP2C23P;#N/A;18
CYP2D6;7;7
CYP2D7;7;7
CYP2F2P;#N/A;18
CYP2G1P;#N/A;15.1
CYP2T1P;#N/A;18
CYP4Z2P;#N/A;14
CYYR1-AS1;#N/A;19.2
DANCR;18;18
DAXX;7;12
DBIL5P;#N/A;18
DDX11L8;3;3
DDX12P;3;3
DEFB109A;#N/A;14
DEFB109B;18;18
DEFB117;#N/A;18
DGAT2L7P;3;3
DHRS4L1;#N/A;11
DIO3OS;18;18
DLEU1;19.2;19.2
DLEU2L;#N/A;19.2
DLX6-AS1;#N/A;18
DNAJB3;#N/A;10
DNM1P34;#N/A;9
DNM1P46;#N/A;16
DOC2GP;#N/A;18
DPH3P1;3;3
DPY19L2P1;#N/A;7
DPY19L2P2;7;7
DSCR10;19.2;19.2
DSCR4;19.2;19.2
DSCR8;19.1;19.1
DUBR;18;18
DUX4L1;#N/A;19.1
DUX4L2;#N/A;15.1
DUX4L20;#N/A;19.1
DUX4L21;#N/A;19.1
DUX4L22;#N/A;19.1
DUX4L23;#N/A;19.1
DUX4L24;#N/A;19.1
DUX4L25;#N/A;19.1
DUX4L3;#N/A;16
DUX4L4;#N/A;16
DUX4L5;#N/A;16
DUX4L6;#N/A;16
